Probe.ID,Up.depth,Texture,Tex.meas,Bulk.den,Bulk.meas
13,0,Loamy sand,No,1.53,Yes
13,25,Loamy sand,No,1.57,Yes
13,50,Loamy sand,No,1.7,Yes
13,75,Sandy clay loam,No,1.76,Yes
13,100,Sandy clay loam,No,1.91,Yes
13,125,Sandy clay loam,No,1.8,Yes
13,150,Sandy clay loam,No,1.87,Yes
13,200,Sandy clay loam,No,1.73,Yes
13,250,Sandy clay loam,No,1.72,Yes
13,300,Sandy clay loam,No,1.47,Yes
13,350,Clay,No,1.71,Yes
13,400,Clay,No,1.6,Yes
13,450,Clay,No,1.71,Yes
43,0,Loamy sand,No,1.61,Yes
43,25,Loamy sand,No,1.59,Yes
43,50,Loamy sand,No,1.65,Yes
43,75,Sandy clay loam,No,1.78,Yes
43,100,Sandy clay loam,No,1.74,Yes
43,125,Sandy clay loam,No,1.52,Yes
43,150,Sandy clay loam,No,1.82,Yes
43,200,Sandy clay loam,No,1.74,Yes
43,250,Sandy clay loam,No,1.73,Yes
43,300,Sandy clay loam,No,1.63,Yes
43,350,Clay,No,1.65,Yes
43,400,Clay,No,1.57,Yes
43,450,Clay,No,1.61,Yes
63,0,Loamy sand,No,1.27,Yes
63,25,Loamy sand,No,1.55,Yes
63,50,Loamy sand,No,1.75,Yes
63,75,Sandy clay loam,No,1.78,Yes
63,100,Sandy clay loam,No,1.81,Yes
63,125,Sandy clay loam,No,1.76,Yes
63,150,Sandy clay loam,No,1.79,Yes
63,200,Sandy clay loam,No,1.82,Yes
63,250,Sandy clay loam,No,1.78,Yes
63,300,Sandy clay loam,No,1.77,Yes
63,350,Clay,No,1.75,Yes
63,400,Clay,No,1.57,Yes
63,450,Clay,No,1.66,Yes
11,0,Sand,Yes,1.53,No
11,25,Sand,Yes,1.57,No
11,50,Sandy loam,Yes,1.7,No
11,75,Sandy loam,Yes,1.76,No
11,100,Sandy loam,Yes,1.91,No
11,125,Sandy clay loam,No,1.8,No
11,150,Loamy sand,Yes,1.87,No
11,200,Sandy loam,Yes,1.73,No
11,250,Sandy loam,Yes,1.72,No
11,300,Sandy clay loam,Yes,1.47,No
11,350,Clay,Yes,1.71,No
11,400,Clay,Yes,1.6,No
11,450,Clay,Yes,1.71,No
12,0,Sand,No,1.53,No
12,25,Sand,No,1.57,No
12,50,Sandy loam,No,1.7,No
